"V1","V2","V3","V4","Class"
3.6216,8.6661,-2.8073,-0.44699,1
4.5459,8.1674,-2.4586,-1.4621,1
3.866,-2.6383,1.9242,0.10645,1
3.4566,9.5228,-4.0112,-3.5944,1
0.32924,-4.4552,4.5718,-0.9888,1
4.3684,9.6718,-3.9606,-3.1625,1
3.5912,3.0129,0.72888,0.56421,1
2.0922,-6.81,8.4636,-0.60216,1
3.2032,5.7588,-0.75345,-0.61251,1
1.5356,9.1772,-2.2718,-0.73535,1
1.2247,8.7779,-2.2135,-0.80647,1
3.9899,-2.7066,2.3946,0.86291,1
1.8993,7.6625,0.15394,-3.1108,1
-1.5768,10.843,2.5462,-2.9362,1
3.404,8.7261,-2.9915,-0.57242,1
4.6765,-3.3895,3.4896,1.4771,1
2.6719,3.0646,0.37158,0.58619,1
0.80355,2.8473,4.3439,0.6017,1
1.4479,-4.8794,8.3428,-2.1086,1
5.2423,11.0272,-4.353,-4.1013,1
5.7867,7.8902,-2.6196,-0.48708,1
0.3292,-4.4552,4.5718,-0.9888,1
3.9362,10.1622,-3.8235,-4.0172,1
0.93584,8.8855,-1.6831,-1.6599,1
4.4338,9.887,-4.6795,-3.7483,1
0.7057,-5.4981,8.3368,-2.8715,1
1.1432,-3.7413,5.5777,-0.63578,1
-0.38214,8.3909,2.1624,-3.7405,1
6.5633,9.8187,-4.4113,-3.2258,1
4.8906,-3.3584,3.4202,1.0905,1
-0.24811,-0.17797,4.9068,0.15429,1
1.4884,3.6274,3.308,0.48921,1
4.2969,7.617,-2.3874,-0.96164,1
-0.96511,9.4111,1.7305,-4.8629,1
-1.6162,0.80908,8.1628,0.60817,1
2.4391,6.4417,-0.80743,-0.69139,1
2.6881,6.0195,-0.46641,-0.69268,1
3.6289,0.81322,1.6277,0.77627,1
4.5679,3.1929,-2.1055,0.29653,1
3.4805,9.7008,-3.7541,-3.4379,1
4.1711,8.722,-3.0224,-0.59699,1
-0.2062,9.2207,-3.7044,-6.8103,1
-0.006892,9.2931,-0.41243,-1.9638,1
0.96441,5.8395,2.3235,0.066365,1
2.8561,6.9176,-0.79372,0.48403,1
-0.7869,9.5663,-3.7867,-7.5034,1
2.0843,6.6258,0.48382,-2.2134,1
-0.7869,9.5663,-3.7867,-7.5034,1
3.9102,6.065,-2.4534,-0.68234,1
1.6349,3.286,2.8753,0.087054,1
4.3239,-4.8835,3.4356,-0.5776,1
5.262,3.9834,-1.5572,1.0103,1
3.1452,5.825,-0.51439,-1.4944,1
2.549,6.1499,-1.1605,-1.2371,1
4.9264,5.496,-2.4774,-0.50648,1
4.8265,0.80287,1.6371,1.1875,1
2.5635,6.7769,-0.61979,0.38576,1
5.807,5.0097,-2.2384,0.43878,1
3.1377,-4.1096,4.5701,0.98963,1
-0.78289,11.3603,-0.37644,-7.0495,1
2.888,0.44696,4.5907,-0.24398,1
0.49665,5.527,1.7785,-0.47156,1
4.2586,11.2962,-4.0943,-4.3457,1
1.7939,-1.1174,1.5454,-0.26079,1
5.4021,3.1039,-1.1536,1.5651,1
2.5367,2.599,2.0938,0.20085,1
4.6054,-4.0765,2.7587,0.31981,1
2.4235,9.5332,-3.0789,-2.7746,1
1.0009,7.7846,-0.28219,-2.6608,1
0.12326,8.9848,-0.9351,-2.4332,1
3.9529,-2.3548,2.3792,0.48274,1
4.1373,0.49248,1.093,1.8276,1
4.7181,10.0153,-3.9486,-3.8582,1
4.1654,-3.4495,3.643,1.0879,1
4.4069,10.9072,-4.5775,-4.4271,1
2.3066,3.5364,0.57551,0.41938,1
3.7935,7.9853,-2.5477,-1.872,1
0.049175,6.1437,1.7828,-0.72113,1
0.24835,7.6439,0.9885,-0.87371,1
1.1317,3.9647,3.3979,0.84351,1
2.8033,9.0862,-3.3668,-1.0224,1
4.4682,2.2907,0.95766,0.83058,1
5.0185,8.5978,-2.9375,-1.281,1
1.8664,7.7763,-0.23849,-2.9634,1
3.245,6.63,-0.63435,0.86937,1
4.0296,2.6756,0.80685,0.71679,1
-1.1313,1.9037,7.5339,1.022,1
0.87603,6.8141,0.84198,-0.17156,1
4.1197,-2.7956,2.0707,0.67412,1
3.8027,0.81529,2.1041,1.0245,1
1.4806,7.6377,-2.7876,-1.0341,1
4.0632,3.584,0.72545,0.39481,1
4.3064,8.2068,-2.7824,-1.4336,1
2.4486,-6.3175,7.9632,0.20602,1
3.2718,1.7837,2.1161,0.61334,1
-0.64472,-4.6062,8.347,-2.7099,1
2.9543,1.076,0.64577,0.89394,1
2.1616,-6.8804,8.1517,-0.081048,1
3.82,10.9279,-4.0112,-5.0284,1
-2.7419,11.4038,2.5394,-5.5793,1
3.3669,-5.1856,3.6935,-1.1427,1
4.5597,-2.4211,2.6413,1.6168,1
5.1129,-0.49871,0.62863,1.1189,1
3.3397,-4.6145,3.9823,-0.23751,1
4.2027,0.22761,0.96108,0.97282,1
3.5438,1.2395,1.997,2.1547,1
2.3136,10.6651,-3.5288,-4.7672,1
-1.8584,7.886,-1.6643,-1.8384,1
3.106,9.5414,-4.2536,-4.003,1
2.9163,10.8306,-3.3437,-4.122,1
3.9922,-4.4676,3.7304,-0.1095,1
1.518,5.6946,0.094818,-0.026738,1
3.2351,9.647,-3.2074,-2.5948,1
4.2188,6.8162,-1.2804,0.76076,1
1.7819,6.9176,-1.2744,-1.5759,1
2.5331,2.9135,-0.822,-0.12243,1
3.8969,7.4163,-1.8245,0.14007,1
2.108,6.7955,-0.1708,0.4905,1
2.8969,0.70768,2.29,1.8663,1
0.9297,-3.7971,4.6429,-0.2957,1
3.4642,10.6878,-3.4071,-4.109,1
4.0713,10.4023,-4.1722,-4.7582,1
-1.4572,9.1214,1.7425,-5.1241,1
-1.5075,1.9224,7.1466,0.89136,1
-0.91718,9.9884,1.1804,-5.2263,1
2.994,7.2011,-1.2153,0.3211,1
-2.343,12.9516,3.3285,-5.9426,1
3.7818,-2.8846,2.2558,-0.15734,1
4.6689,1.3098,0.055404,1.909,1
3.4663,1.1112,1.7425,1.3388,1
3.2697,-4.3414,3.6884,-0.29829,1
5.1302,8.6703,-2.8913,-1.5086,1
2.0139,6.1416,0.37929,0.56938,1
0.4339,5.5395,2.033,-0.40432,1
-1.0401,9.3987,0.85998,-5.3336,1
4.1605,11.2196,-3.6136,-4.0819,1
5.438,9.4669,-4.9417,-3.9202,1
5.032,8.2026,-2.6256,-1.0341,1
5.2418,10.5388,-4.1174,-4.2797,1
-0.2062,9.2207,-3.7044,-6.8103,1
2.0911,0.94358,4.5512,1.234,1
1.7317,-0.34765,4.1905,-0.99138,1
4.1736,3.3336,-1.4244,0.60429,1
3.9232,-3.2467,3.4579,0.83705,1
3.8481,10.1539,-3.8561,-4.2228,1
0.5195,-3.2633,3.0895,-0.9849,1
3.8584,0.78425,1.1033,1.7008,1
1.7496,-0.1759,5.1827,1.2922,1
3.6277,0.9829,0.68861,0.63403,1
2.7391,7.4018,0.071684,-2.5302,1
4.5447,8.2274,-2.4166,-1.5875,1
-1.7599,11.9211,2.6756,-3.3241,1
5.0691,0.21313,0.20278,1.2095,1
3.4591,11.112,-4.2039,-5.0931,1
1.9358,8.1654,-0.023425,-2.2586,1
2.486,-0.99533,5.3404,-0.15475,1
2.4226,-4.5752,5.947,0.21507,1
3.9479,-3.7723,2.883,0.019813,1
2.2634,-4.4862,3.6558,-0.61251,1
1.3566,4.2358,2.1341,0.3211,1
5.0452,3.8964,-1.4304,0.86291,1
3.5499,8.6165,-3.2794,-1.2009,1
0.17346,7.8695,0.26876,-3.7883,1
2.4008,9.3593,-3.3565,-3.3526,1
4.8851,1.5995,-0.000291,1.6401,1
4.1927,-3.2674,2.5839,0.21766,1
1.1166,8.6496,-0.96252,-1.8112,1
1.0235,6.901,-2.0062,-2.7125,1
-1.803,11.8818,2.0458,-5.2728,1
0.11739,6.2761,-1.5495,-2.4746,1
0.5706,-0.0248,1.2421,-0.5621,1
4.0552,-2.4583,2.2806,1.0323,1
-1.6952,1.0657,8.8294,0.94955,1
-1.1193,10.7271,2.0938,-5.6504,1
1.8799,2.4707,2.4931,0.37671,1
3.583,-3.7971,3.4391,-0.12501,1
0.19081,9.1297,-3.725,-5.8224,1
3.6582,5.6864,-1.7157,-0.23751,1
-0.13144,-1.7775,8.3316,0.35214,1
2.3925,9.798,-3.0361,-2.8224,1
1.6426,3.0149,0.22849,-0.147,1
-0.11783,-1.5789,8.03,-0.028031,1
-0.69572,8.6165,1.8419,-4.3289,1
2.9421,7.4101,-0.97709,-0.88406,1
-1.7559,11.9459,3.0946,-4.8978,1
-1.2537,10.8803,1.931,-4.3237,1
3.2585,-4.4614,3.8024,-0.15087,1
1.8314,6.3672,-0.036278,0.049554,1
4.5645,-3.6275,2.8684,0.27714,1
2.7365,-5.0325,6.6608,-0.57889,1
0.9297,-3.7971,4.6429,-0.2957,1
3.9663,10.1684,-4.1131,-4.6056,1
1.4578,-0.08485,4.1785,0.59136,1
4.8272,3.0687,0.68604,0.80731,1
-2.341,12.3784,0.70403,-7.5836,1
-1.8584,7.886,-1.6643,-1.8384,1
4.1454,7.257,-1.9153,-0.86078,1
1.9157,6.0816,0.23705,-2.0116,1
4.0215,-2.1914,2.4648,1.1409,1
5.8862,5.8747,-2.8167,-0.30087,1
-2.0897,10.8265,2.3603,-3.4198,1
4.0026,-3.5943,3.5573,0.26809,1
-0.78689,9.5663,-3.7867,-7.5034,1
4.1757,10.2615,-3.8552,-4.3056,1
0.83292,7.5404,0.65005,-0.92544,1
4.8077,2.2327,-0.26334,1.5534,1
5.3063,5.2684,-2.8904,-0.52716,1
2.5605,9.2683,-3.5913,-1.356,1
2.1059,7.6046,-0.47755,-1.8461,1
2.1721,-0.73874,5.4672,-0.72371,1
4.2899,9.1814,-4.6067,-4.3263,1
3.5156,10.1891,-4.2759,-4.978,1
2.614,8.0081,-3.7258,-1.3069,1
0.68087,2.3259,4.9085,0.54998,1
4.1962,0.74493,0.83256,0.753,1
6.0919,2.9673,-1.3267,1.4551,1
1.3234,3.2964,0.2362,-0.11984,1
1.3264,1.0326,5.6566,-0.41337,1
-0.16735,7.6274,1.2061,-3.6241,1
-1.3,10.2678,-2.953,-5.8638,1
-2.2261,12.5398,2.9438,-3.5258,1
2.4196,6.4665,-0.75688,0.228,1
1.0987,0.6394,5.989,-0.58277,1
4.6464,10.5326,-4.5852,-4.206,1
-0.36038,4.1158,3.1143,-0.37199,1
1.3562,3.2136,4.3465,0.78662,1
0.5706,-0.0248,1.2421,-0.5621,1
-2.6479,10.1374,-1.331,-5.4707,1
3.1219,-3.137,1.9259,-0.37458,1
5.4944,1.5478,0.041694,1.9284,1
-1.3389,1.552,7.0806,1.031,1
-2.3361,11.9604,3.0835,-5.4435,1
2.2596,-0.033118,4.7355,-0.2776,1
0.46901,-0.63321,7.3848,0.36507,1
2.7296,2.8701,0.51124,0.5099,1
2.0466,2.03,2.1761,-0.083634,1
-1.3274,9.498,2.4408,-5.2689,1
3.8905,-2.1521,2.6302,1.1047,1
3.9994,0.90427,1.1693,1.6892,1
2.3952,9.5083,-3.1783,-3.0086,1
3.2704,6.9321,-1.0456,0.23447,1
-1.3931,1.5664,7.5382,0.78403,1
1.6406,3.5488,1.3964,-0.36424,1
2.7744,6.8576,-1.0671,0.075416,1
2.4287,9.3821,-3.2477,-1.4543,1
4.2134,-2.806,2.0116,0.67412,1
1.6472,0.48213,4.7449,1.225,1
2.0597,-0.99326,5.2119,-0.29312,1
0.3798,0.7098,0.7572,-0.4444,1
1.0135,8.4551,-1.672,-2.0815,1
4.5691,-4.4552,3.1769,0.004296,1
0.57461,10.1105,-1.6917,-4.3922,1
0.5734,9.1938,-0.9094,-1.872,1
5.2868,3.257,-1.3721,1.1668,1
