"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
-1,1,-0.749474,-0.181429,0,-0.538462,-0.25,-0.888772,-1,-1,-1,1,0,-0.9,-0.97576
-1,-1,-0.731729,-0.5,0,0.076923,-0.25,-0.988421,-1,-1,-1,-1,0,-0.84,-1
-1,-1,-0.52391,-0.875,-1,-0.538462,-0.25,-0.912281,-1,-1,-1,1,0,-0.72,-1
1,-1,-0.761805,-0.178571,-1,-0.384615,-0.5,-1,1,1,-0.671642,1,0,-1,-1
1,1,-0.806917,-0.416429,0,-0.230769,-0.25,-0.862456,1,1,-0.58209,-1,0,-0.94,-0.99684
1,-1,-0.937444,-0.958214,0,0.076923,0.75,-0.894737,1,1,-0.940299,-1,0,-0.9,-1
-1,1,-0.889624,-0.535714,0,-0.692308,-0.25,-0.991228,-1,-1,-1,-1,0,-0.94,-0.998
1,-1,0.350977,-0.681429,0,0.538462,0.75,-0.786667,1,1,-0.820896,-1,0,-0.957,-0.9888
-1,1,-0.576541,-0.928571,-1,-0.846154,0.75,-0.789474,-1,-1,-1,-1,0,-0.824,-0.98926
-1,-1,0.263158,-0.494286,0,-0.538462,0.75,-0.526316,1,1,-0.910448,1,0,-0.9,-0.999
1,1,-0.406015,-0.875,0,1,0.75,-0.684211,1,1,-0.880597,1,0,-0.747,-0.98286
1,1,-0.16782,-0.642857,0,0.538462,0.75,-0.649123,1,1,-0.820896,1,0,-0.53,-1
-1,1,-0.79188,-0.910714,-1,0.076923,0.75,-0.903509,1,1,-0.910448,1,0,-0.86,-0.9958
1,1,-0.363308,-0.642857,0,1,0.75,-0.473684,1,1,-0.820896,1,0,-1,-0.98
-1,1,0.348271,-0.806429,0,0.076923,-0.25,-0.830526,-1,-1,-1,1,0,-0.68,-1
1,1,0.032481,-0.568571,0,-0.538462,-0.25,-0.997193,-1,-1,-1,-1,0,-1,-0.9462
1,1,-0.52391,-0.678571,0,0.230769,-0.25,-0.473684,1,1,-0.940299,1,0,-0.67,-1
1,-1,-0.844511,-0.357143,0,-0.230769,-0.25,-0.947368,1,1,-0.940299,-1,0,-0.912,-0.98818
-1,1,-0.81203,-0.910714,-1,-0.538462,-0.25,-0.991228,-1,-1,-1,-1,0,-0.86,-0.99992
1,-1,-0.739248,-0.595357,0,0.538462,-0.25,-0.818597,1,1,-0.791045,-1,0,-0.871,-0.93486
-1,-1,-0.566316,-0.958214,0,-0.230769,-0.25,-0.997193,-1,-1,-1,-1,0,-0.74,-0.97992
-1,-1,-0.836993,-0.958214,-1,-0.230769,-0.25,-0.958947,1,-1,-1,1,0,-0.84,-1
-1,1,-0.175338,-0.904643,0,-0.846154,-0.25,-0.988421,-1,-1,-1,-1,0,-0.832,-1
-1,1,-0.163008,-0.875,0,-0.538462,-0.25,-0.985263,1,-1,-1,-1,0,-0.84,-1
-1,1,-0.827068,-0.315357,0,-0.230769,-0.25,-0.944561,-1,-1,-1,-1,0,-0.92,-0.993
1,1,-0.428571,-0.892857,0,0.846154,0.75,-0.614035,1,1,-0.910448,1,0,-1,-1
-1,1,-0.736842,-0.991071,-1,-0.538462,-0.25,-0.991228,-1,-1,-1,-1,0,-0.8,-0.9986
1,1,-0.41594,-0.782857,-1,0.076923,0.75,-0.856842,1,1,-0.970149,1,0,-0.82,-0.63946
1,-1,-0.491128,-0.142857,0,0.076923,-0.25,-0.859649,1,1,-0.970149,-1,0,-0.78,-0.99962
1,1,-0.719399,-0.821429,0,0.076923,-0.25,-0.92386,1,1,-0.671642,1,0,-0.94,-0.95632
1,1,-0.601504,-0.946429,0,0.076923,0.75,-0.701754,1,1,-0.910448,1,0,-0.688,-0.997
-1,-1,-0.799399,-0.25,-1,1,0.75,-1,-1,-1,-1,1,0,-0.846,-0.99936
-1,1,0.160301,-0.901786,-1,0.076923,0.75,-0.33614,1,-1,-1,1,0,-0.8,-0.998
1,1,-0.719399,-0.178571,0,0.230769,0.75,-0.850877,1,1,-0.671642,1,0,-0.71,-0.99432
-1,1,-0.125414,-0.910714,0,-0.076923,-0.25,-0.026316,-1,1,-0.970149,1,0,-0.648,-0.99776
-1,1,0.836993,0.357143,-1,-1,-1,-0.997193,-1,1,-0.940299,-1,0,-1,-0.99298
1,1,-0.661654,-0.107143,0,-0.230769,-0.25,-0.789474,1,-1,-1,1,-1,-0.98,-1
1,1,-0.223158,-0.006071,0,0.230769,-0.25,-0.394737,1,1,-0.820896,1,0,-0.93,-1
1,-1,0.022556,-0.428571,0,0.076923,-0.25,-0.447368,1,1,-0.820896,1,0,-1,-0.9748
1,-1,0.012632,-0.785714,0,1,-0.25,-0.026316,1,1,-0.940299,1,0,-0.481,-0.96592
1,1,-0.716692,-1,0,0.846154,-0.25,-0.994035,1,-1,-1,-1,0,-1,-1
-1,1,-0.734436,-0.892857,-1,-0.230769,-0.25,-0.962105,-1,-1,-1,1,0,-0.88,-0.99866
1,1,-0.609023,-0.919643,0,1,0.75,-0.912281,1,-1,-1,-1,0,-1,-0.89404
