"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","Class"
3.919,2.6909,0,0,0,0,0,31.4,2,0,0,0,3.106,2.55,9.002,0,0.96,1.142,0,0,0,1.201,0,0,0,0,1.932,0.011,0,0,4.489,0,0,0,0,2.949,1.591,0,7.253,0,0,2
4.17,2.1144,0,0,0,0,0,30.8,1,1,0,0,2.461,1.393,8.723,1,0.989,1.144,0,0,0,1.104,1,0,0,0,2.214,-0.204,0,0,1.542,0,0,0,0,3.315,1.967,0,7.257,0,0,2
3.932,3.2512,0,0,0,0,0,26.7,2,4,0,0,3.279,2.585,9.11,0,1.009,1.152,0,0,0,1.092,0,0,0,0,1.942,-0.008,0,0,4.891,0,0,0,1,3.076,2.417,0,7.601,0,0,2
3,2.7098,0,0,0,0,0,20,0,2,0,0,2.1,0.918,6.594,0,1.108,1.167,0,0,0,1.024,0,0,0,0,1.414,1.073,0,8.361,1.333,0,0,0,1,3.046,5,0,6.69,0,0,2
4.236,3.3944,0,0,0,0,0,29.4,2,4,0,-0.271,3.449,2.753,9.528,2,1.004,1.147,0,0,0,1.137,0,0,0,0,1.985,-0.002,0,10.348,5.588,0,0,0,0,3.351,2.405,0,8.003,0,0,2
4.236,3.4286,0,0,0,0,0,28.6,2,4,0,-0.275,3.313,2.522,9.383,1,1.014,1.149,0,0,0,1.119,0,0,0,0,1.98,-0.008,0,10.276,4.746,0,0,0,0,3.351,2.556,0,7.904,0,0,2
5,5.0476,1,0,0,0,0,11.1,0,3,0,0,2.872,0.722,9.657,0,1.092,1.153,0,0,0,1.125,0,0,0,0,2,0.446,0,18.375,0.8,0,0,0,1,4.712,4.583,0,9.303,0,0,2
4.525,3.8301,0,0,0,0,0,31.6,3,2,0,-0.039,3.418,2.468,9.786,5,0.98,1.142,0,0,0,1.179,0,0,0,0,2.119,-0.002,0,11.115,3.889,0,0,0,0,3.379,2.143,0,7.95,0,0,2
4.596,3.0777,0,0,0,0,2,44.4,2,0,0,0,2.97,0.875,9.54,0,0.968,1.115,0,0,0,1.328,1,0,0,0,2.175,0.041,0,0,1.069,0,0,0,0,3.626,1.917,0,7.939,0,0,2
5.04,3.6112,0,0,1,0,2,41.2,0,4,3,-1.29,3.483,1.258,10.159,8,1.069,1.127,0,1,0,1.199,1,0,0,0,2.323,0.005,0,30.959,1.711,0,1,2,1,3.888,3.5,1,8.706,0,0,2
4.91,2.7414,0,0,0,0,2,52.9,0,2,0,-0.302,3.364,0.629,10.06,5,1.018,1.098,0,0,0,1.279,3,0,0,0,2.333,0.004,0,10.717,1.207,0,1,0,0,3.767,2.5,0,8.427,0,0,2
3.618,2.1906,0,0,0,0,0,29.4,2,0,0,0,2.333,1.522,7.853,0,0.959,1.147,0,0,0,1.178,0,0,0,0,1.732,0.294,0,0,2.094,0,0,0,0,2.794,1.7,0,6.333,0,0,2
4.214,2.6272,0,0,0,0,0,30,3,0,0,0,2.523,1.459,8.755,0,0.959,1.145,0,0,0,1.213,0,0,0,0,1.902,-0.181,0,0,2.052,0,0,0,0,2.998,1.722,0,6.77,0,0,2
3.732,2.3391,0,0,0,0,0,30,2,0,0,0,2.511,1.585,8.16,0,0.959,1.145,0,0,0,1.196,0,0,0,0,1.802,-0.181,0,0,2.488,0,0,0,0,2.846,1.667,0,6.557,0,0,2
3.879,2.5951,0,0,0,0,0,31,2,0,0,0,2.908,2.281,8.743,0,0.96,1.143,0,0,0,1.202,0,0,0,0,1.902,0.036,0,0,3.685,0,0,0,0,2.924,1.611,0,7.029,0,0,2
3.942,2.7719,1,0,0,0,0,31.6,2,0,0,0,3.44,2.777,9.207,0,0.969,1.141,0,0,0,1.22,0,0,1,0,1.95,0.003,0,0,5.294,0,0,0,0,3.542,1.739,0,8.127,0,1,2
3.966,2.852,1,0,0,0,0,32,2,0,0,0,4.075,3.146,9.522,0,0.965,1.138,0,0,0,1.243,0,1,0,0,1.97,0,1,0,6.909,0,0,0,0,6.866,1.603,0,11.578,0,1,2
3.732,2.3761,0,0,1,0,0,26.3,2,0,1,0,2.532,1.585,8.16,0,0.969,1.157,0,0,0,1.152,0,0,0,0,1.802,-0.195,0,0,2.488,0,0,1,2,2.858,2,1,6.599,0,0,2
4,2.6264,0,0,0,0,0,23.1,0,0,0,0,2.167,0.811,8.318,0,0.972,1.166,0,0,0,1.182,0,0,0,0,1.732,-0.522,0,0,1,0,0,0,0,2.991,2,1,6.579,0,0,2
2,1.1521,0,0,0,0,0,16.7,1,1,0,0,1.549,0,4.174,0,1.016,1.173,0,0,0,0.93,0,0,0,0,1,-1.099,0,0,1,0,0,0,1,2.279,4,0,4.948,0,0,2
3.732,2.4062,0,0,0,0,0,27.8,2,1,0,0,2.555,1.585,8.16,1,0.979,1.15,0,0,0,1.134,0,0,0,0,1.802,-0.205,0,0,2.488,0,0,0,1,2.874,2.333,0,6.649,0,0,2
4,2.3699,0,0,0,0,0,30,1,1,0,0,2.273,1,8.482,0,0.998,1.146,0,0,0,1.09,1,0,0,0,2.17,0.34,0,0,1,0,0,0,0,3.302,2.083,0,7.174,0,0,2
3.414,2.2525,0,0,0,0,0,20,2,2,0,0,2.243,1,7.408,0,1.031,1.166,0,0,0,0.98,0,0,0,0,1.618,-0.642,0,0,1.707,0,0,0,2,2.817,3.75,0,6.32,0,0,2
4.17,2.8042,0,0,0,0,0,23.1,2,2,0,0,2.449,0.971,8.597,1,1.015,1.16,0,0,0,1.044,0,0,0,0,1.848,0.391,0,0,1.542,0,0,0,2,3.047,3.367,0,6.782,0,0,2
